,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,percentage_demographic_in_boston_census_group_id,percentage_demographic_in_boston_census_group_%white,percentage_demographic_in_boston_census_group_%black,percentage_demographic_in_boston_census_group_Estimate!!Total,percentage_demographic_in_boston_census_group_Estimate!!Total!!White alone,percentage_demographic_in_boston_census_group_Estimate!!Total!!Black or African American alone,stopped_in_census,stopped_black_in_census,stopped_white_in_census,crime_in_census,%black_in_census,%white_in_census,%stopped_in_census,%black_stopped_in_census,%white_stopped_in_census,%crime_in_census
264,25,25,40401,2,1500000US250250404012,250250404012,2,BG,312222,26534,1500000US250250404012,0.8195937873357231,0.032258064516129,837.0,686.0,27.0,6,2,4,168,0.07407407407407407,0.0058309037900874635,0.007168458781362007,0.07407407407407407,0.0058309037900874635,0.2007168458781362
270,25,25,91400,2,1500000US250250914002,250250914002,2,BG,148732,0,1500000US250250914002,0.13501742160278699,0.553135888501742,1148.0,155.0,635.0,2,2,0,152,0.0031496062992125984,0.0,0.0017421602787456446,0.0031496062992125984,0.0,0.13240418118466898
274,25,25,101001,3,1500000US250251010013,250251010013,3,BG,139166,5844,1500000US250251010013,0.0,0.9523809523809521,777.0,0.0,740.0,0,0,0,177,0.0,,0.0,0.0,,0.2277992277992278
284,25,25,60800,2,1500000US250250608002,250250608002,2,BG,63564,0,1500000US250250608002,0.838961038961039,0.00173160173160173,1155.0,969.0,2.0,0,0,0,88,0.0,0.0,0.0,0.0,0.0,0.0761904761904762
287,25,25,81900,1,1500000US250250819001,250250819001,1,BG,150395,0,1500000US250250819001,0.0110497237569061,0.759116022099448,905.0,10.0,687.0,2,2,0,270,0.002911208151382824,0.0,0.0022099447513812156,0.002911208151382824,0.0,0.2983425414364641
292,25,25,100400,2,1500000US250251004002,250251004002,2,BG,174064,0,1500000US250251004002,0.31007751937984496,0.683720930232558,1290.0,400.0,882.0,0,0,0,92,0.0,0.0,0.0,0.0,0.0,0.07131782945736434
298,25,25,70300,4,1500000US250250703004,250250703004,4,BG,75791,0,1500000US250250703004,0.7323549965059399,0.0335429769392034,1431.0,1048.0,48.0,0,0,0,141,0.0,0.0,0.0,0.0,0.0,0.09853249475890985
299,25,25,81800,2,1500000US250250818002,250250818002,2,BG,106704,0,1500000US250250818002,0.05859375,0.69921875,1536.0,90.0,1074.0,1,0,1,214,0.0,0.011111111111111112,0.0006510416666666666,0.0,0.011111111111111112,0.13932291666666666
303,25,25,20200,3,1500000US250250202003,250250202003,3,BG,57107,0,1500000US250250202003,0.916666666666667,0.0,1332.0,1221.0,0.0,2,2,0,84,inf,0.0,0.0015015015015015015,inf,0.0,0.06306306306306306
304,25,25,70101,4,1500000US250250701014,250250701014,4,BG,26533,0,1500000US250250701014,0.742674480554076,0.028236547682472003,1877.0,1394.0,53.0,7,2,5,96,0.03773584905660377,0.003586800573888092,0.0037293553542887587,0.03773584905660377,0.003586800573888092,0.05114544485881726
306,25,25,91700,3,1500000US250250917003,250250917003,3,BG,54173,0,1500000US250250917003,0.0947521865889213,0.641399416909621,686.0,65.0,440.0,5,5,0,86,0.011363636363636364,0.0,0.007288629737609329,0.011363636363636364,0.0,0.12536443148688048
314,25,25,140106,1,1500000US250251401061,250251401061,1,BG,220485,3116,1500000US250251401061,0.30996309963099605,0.445018450184502,1355.0,420.0,603.0,0,0,0,99,0.0,0.0,0.0,0.0,0.0,0.07306273062730627
315,25,25,10403,2,1500000US250250104032,250250104032,2,BG,25354,0,1500000US250250104032,0.723476297968397,0.0349887133182844,886.0,641.0,31.0,0,0,0,106,0.0,0.0,0.0,0.0,0.0,0.11963882618510158
321,25,25,70800,2,1500000US250250708002,250250708002,2,BG,59843,0,1500000US250250708002,0.781710914454277,0.151425762045231,1017.0,795.0,154.0,3,3,0,125,0.01948051948051948,0.0,0.0029498525073746312,0.01948051948051948,0.0,0.12291052114060963
322,25,25,140201,2,1500000US250251402012,250251402012,2,BG,768093,45704,1500000US250251402012,0.506446991404012,0.18266475644699104,1396.0,707.0,255.0,0,0,0,106,0.0,0.0,0.0,0.0,0.0,0.07593123209169055
331,25,25,130200,3,1500000US250251302003,250251302003,3,BG,511125,0,1500000US250251302003,0.879419191919192,0.0315656565656566,1584.0,1393.0,50.0,0,0,0,124,0.0,0.0,0.0,0.0,0.0,0.07828282828282829
333,25,25,170800,2,1500000US250251708002,250251708002,2,BG,151384,0,1500000US250251708002,0.864013266998342,0.0,1206.0,1042.0,0.0,0,0,0,0,,0.0,0.0,,0.0,0.0
373,25,25,81700,4,1500000US250250817004,250250817004,4,BG,97251,0,1500000US250250817004,0.0812294182217344,0.562019758507135,911.0,74.0,512.0,0,0,0,148,0.0,0.0,0.0,0.0,0.0,0.16245883644346873
374,25,25,81800,3,1500000US250250818003,250250818003,3,BG,136700,0,1500000US250250818003,0.00610997963340122,0.6496945010183299,982.0,6.0,638.0,2,2,0,369,0.003134796238244514,0.0,0.002036659877800407,0.003134796238244514,0.0,0.3757637474541752
375,25,25,90100,5,1500000US250250901005,250250901005,5,BG,74172,0,1500000US250250901005,0.0391730141458107,0.8933623503808491,919.0,36.0,821.0,5,5,0,129,0.0060901339829476245,0.0,0.00544069640914037,0.0060901339829476245,0.0,0.14036996735582155
376,25,25,90200,3,1500000US250250902003,250250902003,3,BG,116881,0,1500000US250250902003,0.125225225225225,0.617117117117117,1110.0,139.0,685.0,23,14,8,315,0.020437956204379562,0.05755395683453238,0.02072072072072072,0.020437956204379562,0.05755395683453238,0.28378378378378377
